區域別,總人口,男性,女性,幼年,青壯年,老年
鹽埕區,23553,11636,11917,1802,16130,5621
鼓山區,141488,67965,73523,20963,98020,22505
左營區,197306,94355,102951,26320,143832,27154
楠梓區,189426,92502,96924,27363,137228,24835
三民區,336868,162409,174459,39603,239640,57625
新興區,50490,24227,26263,5407,33445,11638
前金區,26668,12603,14065,2087,17941,6640
苓雅區,167280,80039,87241,18261,113347,35672
前鎮區,185828,90961,94867,19791,132021,34016
旗津區,27785,14306,13479,2365,20548,4872
小港區,157356,77861,79495,19213,115972,22171
鳳山區,359576,175456,184120,45920,259249,54407
林園區,69478,34940,34538,7872,51244,10362
大寮區,112265,57282,54983,11377,83938,16950
大樹區,41764,21360,20404,3963,30230,7571
大社區,34324,17411,16913,3243,25653,5428
仁武區,91893,46370,45523,11127,69030,11736
鳥松區,44938,22653,22285,3903,32886,8149
岡山區,96841,47941,48900,12288,69392,15161
橋頭區,38955,19609,19346,4057,27924,6974
燕巢區,29493,15529,13964,2675,21397,5421
田寮區,6919,3827,3092,375,4524,2020
阿蓮區,28331,14284,14047,3096,20461,4774
路竹區,51726,26258,25468,6587,36348,8791
湖內區,29882,15193,14689,3093,21929,4860
茄萣區,29960,15349,14611,2870,21647,5443
永安區,13705,6874,6831,1341,10286,2078
彌陀區,18872,9653,9219,1969,13593,3310
梓官區,35517,18262,17255,3410,26288,5819
旗山區,35764,18387,17377,3321,24437,8006
美濃區,38611,20288,18323,2851,25493,10267
六龜區,12391,6700,5691,970,8541,2880
甲仙區,5877,3106,2771,445,4112,1320
杉林區,11541,6289,5252,845,7887,2809
內門區,13976,7558,6418,943,9742,3291
茂林區,1915,960,955,281,1458,176
桃源區,4223,2218,2005,641,3233,349
那瑪夏區,3147,1622,1525,593,2262,292
